Age,Sex,CAKe score,context source accuracy,feature source accuracy,context item accuracy,feature item accuracy
70,Female,23,0.975,0.783783784,1,0.933333333
60,Female,20,0.75,1,0.966666667,1
59,Female,20,0.944444444,0.820512821,0.933333333,0.983333333
62,Female,22,0.775,0.925,0.966666667,0.966666667
58,Male,15,0.974358974,0.975,0.983333333,0.95
58,Female,23,0.641025641,0.692307692,0.916666667,0.983333333
59,Female,24,1,0.972222222,0.883333333,0.933333333
63,Female,13,1,0.923076923,0.916666667,0.983333333
69,Female,22,0.864864865,0.75,0.9,0.966666667
68,Female,20,0.868421053,0.973684211,0.95,0.933333333
69,Male,23,0.625,0.7,1,0.65
57,Female,22,0.925,0.95,0.983333333,1
70,Male,15,0.789473684,0.789473684,0.933333333,0.883333333
55,Female,13,1,0.583333333,0.866666667,0.683333333
63,Female,9,0.95,0.918918919,1,0.783333333
55,Female,19,0.96875,1,0.766666667,0.783333333
65,Female,20,0.9,0.925,1,1
61,Male,11,0.575,0.641025641,0.666666667,0.666666667
70,Female,18,0.925,0.925,0.933333333,1
60,Male,20,0.972972973,0.972222222,0.95,0.933333333
72,Female,22,0.85,0.894736842,0.983333333,0.95
70,Male,20,0.95,0.861111111,1,0.933333333
66,Female,22,1,0.947368421,1,0.95
66,Female,24,0.769230769,0.58974359,0.9,0.816666667
59,Female,21,0.975,0.975,1,0.983333333
66,Male,20,0.538461538,0.5,0.95,0.883333333
58,Female,21,0.975,0.9,1,1
63,Male,20,0.925,0.975,1,0.983333333
59,Female,6,0.925,0.820512821,0.7,0.783333333
66,Male,19,0.875,0.722222222,1,0.933333333
60,Female,19,1,0.923076923,0.983333333,0.983333333
65,Female,21,1,1,0.966666667,0.966666667
65,Female,22,0.942857143,1,0.916666667,0.95
55,Female,19,1,1,0.9,0.9
59,Male,15,0.75,0.875,0.75,0.833333333
61,Female,21,1,1,1,1
65,Female,18,0.875,0.923076923,1,0.966666667
64,Female,20,0.975,0.916666667,0.983333333,0.883333333
69,Female,15,0.725,0.641025641,1,0.983333333
60,Female,21,1,0.975,1,1
65,Female,20,1,1,0.933333333,0.966666667
68,Male,17,0.710526316,0.71875,0.833333333,0.816666667
63,Female,22,0.8,0.95,0.966666667,0.983333333
55,Female,20,1,1,0.933333333,0.866666667
64,Female,21,0.702702703,0.75,0.9,0.966666667
62,Male,17,0.775,0.552631579,0.983333333,0.916666667
62,Female,23,1,0.975,0.983333333,1
60,Female,18,0.945945946,0.641025641,0.95,0.966666667
63,Male,11,0.583333333,0.696969697,0.683333333,0.85
64,Male,20,0.9,0.871794872,1,0.983333333
69,Female,22,0.75,0.65,0.966666667,0.966666667
69,Female,21,0.820512821,0.85,0.966666667,0.983333333
67,Male,23,0.825,0.722222222,1,0.9
58,Male,6,0.575,0.775,0.7,0.833333333
62,Male,17,0.923076923,0.742857143,0.95,0.833333333
70,Female,22,0.973684211,1,0.966666667,1
61,Female,22,0.948717949,0.975,0.983333333,1
66,Female,24,0.8,0.825,1,0.983333333
62,Female,23,0.923076923,1,0.966666667,1
64,Male,15,1,1,0.983333333,0.983333333
58,Female,10,1,0.975,0.966666667,0.966666667
60,Male,16,0.921052632,0.971428571,0.966666667,0.916666667
58,Female,22,0.923076923,0.925,0.983333333,0.966666667
58,Male,19,0.837837838,0.923076923,0.916666667,0.866666667
66,Male,10,1,0.918918919,1,0.933333333
63,Female,23,0.875,0.975,0.983333333,1
66,Female,21,1,0.941176471,0.983333333,0.883333333
61,Male,23,0.85,0.842105263,1,0.966666667
65,Female,23,0.974358974,0.871794872,0.983333333,0.983333333
72,Female,22,0.875,0.95,1,1
65,Male,19,0.58974359,0.5625,0.816666667,0.733333333
68,Female,19,0.8,0.769230769,1,0.983333333
68,Female,22,0.85,0.692307692,0.966666667,0.983333333
69,Female,18,0.974358974,0.975,0.983333333,1
62,Male,20,0.846153846,0.685714286,0.983333333,0.866666667
60,Female,21,0.918918919,0.923076923,0.933333333,0.983333333
60,Female,21,0.775,0.8,0.966666667,0.983333333
59,Female,23,0.717948718,0.815789474,0.983333333,0.966666667
59,Female,24,0.888888889,1,0.933333333,0.983333333
59,Female,21,0.7,0.894736842,1,0.95
62,Female,24,0.825,0.775,1,1
65,Female,19,0.871794872,0.725,0.966666667,1
59,Female,20,0.972972973,0.974358974,0.883333333,0.983333333
61,Male,22,1,1,1,1
69,Female,23,0.925,0.975,0.966666667,0.966666667
60,Female,23,0.820512821,0.648648649,0.966666667,0.95
63,Female,22,0.85,0.846153846,1,0.966666667
69,Female,7,0.558823529,0.411764706,0.6,0.616666667
64,Female,22,0.736842105,0.925,0.933333333,0.983333333
60,Female,18,1,0.923076923,1,0.983333333
60,Female,14,0.4,0.45,0.683333333,0.683333333
63,Female,23,0.8,0.864864865,0.916666667,0.933333333
67,Male,24,0.925,0.75,1,0.916666667
64,Female,22,0.875,0.975,1,0.983333333
66,Male,22,0.975,0.815789474,0.983333333,0.95
68,Female,23,0.825,0.85,1,1
61,Female,11,0.542857143,0.5,0.666666667,0.7
58,Male,24,0.842105263,1,0.95,1
66,Female,19,1,1,1,1
59,Female,22,0.828571429,0.974358974,0.916666667,0.983333333
65,Female,21,0.95,0.8,1,1
58,Female,23,0.897435897,0.975,0.916666667,0.983333333
72,Female,21,0.975,1,1,1
57,Female,22,0.837837838,0.973684211,0.95,0.966666667
69,Male,22,0.794871795,0.975,0.966666667,0.983333333
66,Male,16,0.611111111,0.552631579,0.916666667,0.95
62,Female,22,1,0.875,0.9,0.866666667
71,Male,23,0.95,1,1,1
63,Male,16,0.75,0.647058824,0.933333333,0.9
72,Female,21,0.925,0.9,1,1
65,Male,20,0.882352941,0.702702703,0.866666667,0.783333333
72,Female,16,0.897435897,0.897435897,0.95,0.95
70,Male,20,1,0.9,1,1
62,Female,24,0.769230769,0.8,0.966666667,1
66,Male,22,0.894736842,0.775,0.95,1
77,Male,18,0.657142857,0.513513514,0.883333333,0.916666667
66,Male,23,0.775,0.85,1,0.966666667
62,Female,19,1,0.947368421,1,0.95
69,Female,21,0.875,1,0.933333333,1
58,Female,16,1,0.925,0.983333333,1
59,Male,6,0.8,0.756756757,0.95,0.816666667
58,Female,14,1,1,0.983333333,1
59,Female,21,0.921052632,0.974358974,0.966666667,0.983333333
58,Male,21,0.974358974,0.885714286,0.933333333,0.916666667
64,Female,22,0.925,0.948717949,1,0.983333333
66,Male,22,0.925,0.820512821,1,0.9
64,Female,22,0.628571429,0.775,0.916666667,1
61,Female,23,1,0.948717949,0.983333333,0.983333333
62,Female,23,0.9,0.775,1,0.95
70,Female,19,0.828571429,0.575,0.9,1
67,Female,21,0.138888889,0.216216216,0.916666667,0.933333333
60,Male,21,0.741935484,0.925,0.85,1
67,Female,24,0.975,1,0.966666667,0.983333333
55,Female,6,0.975,0.842105263,1,0.966666667
69,Female,17,0.512820513,0.55,0.966666667,1
62,Male,21,0.95,0.891891892,1,0.95
70,Female,21,1,0.925,0.983333333,0.966666667
67,Female,18,0.825,0.825,1,0.95
60,Female,17,1,1,1,0.933333333
65,Female,22,1,1,1,0.983333333
65,Female,24,0.975,0.925,1,1
69,Male,8,1,0.857142857,0.9,0.816666667
62,Female,19,0.871794872,0.921052632,0.933333333,0.833333333
65,Female,24,0.897435897,0.942857143,0.966666667,0.916666667
70,Female,24,0.641025641,0.8,0.983333333,0.983333333
65,Female,17,1,0.894736842,0.833333333,0.966666667
61,Female,19,0.868421053,0.871794872,0.95,0.983333333
65,Female,22,1,1,1,0.983333333
71,Male,23,0.820512821,0.638888889,0.916666667,0.866666667
65,Female,19,0.975,1,1,0.916666667
65,Female,19,0.875,1,0.933333333,0.9
60,Male,22,0.828571429,0.75,0.883333333,0.95
65,Female,22,0.931034483,1,0.783333333,0.95
66,Male,12,1,0.944444444,1,0.916666667
65,Female,18,0.666666667,0.657142857,0.516666667,0.65
65,Female,23,0.975,1,1,0.983333333
70,Female,21,0.743589744,0.875,0.966666667,1
65,Female,23,1,1,1,0.983333333
60,Female,20,1,1,0.95,0.95
73,Male,21,0.641025641,0.641025641,0.833333333,0.866666667
67,Female,21,0.975,0.948717949,1,0.9
65,Female,20,0.85,0.875,1,1
65,Female,18,0.914285714,0.657894737,0.9,0.95
62,Female,12,0.512820513,0.6,0.65,0.666666667
61,Male,24,1,0.975,1,0.983333333
65,Female,22,0.974358974,0.694444444,0.983333333,0.933333333
70,Male,23,0.85,0.875,1,1
63,Male,18,0.743589744,0.769230769,0.95,0.983333333
60,Female,20,0.974358974,0.972972973,0.983333333,0.9
60,Female,21,1,1,0.933333333,0.883333333
65,Female,19,1,1,1,1
60,Female,17,1,0.973684211,1,0.966666667
66,Male,23,1,0.95,0.95,1
59,Male,24,0.95,0.909090909,1,0.883333333
66,Male,21,0.974358974,0.846153846,0.966666667,0.95
65,Female,17,1,1,1,0.966666667
65,Female,23,0.925,0.974358974,1,0.983333333
65,Female,19,0.541666667,0.44,0.433333333,0.416666667
58,Female,22,0.925,0.736842105,1,0.966666667
60,Male,20,0.869565217,0.878787879,0.7,0.883333333
71,Female,23,1,0.945945946,1,0.95
67,Female,16,0.975,0.875,0.933333333,0.983333333
76,Female,20,0.95,0.95,0.983333333,1
69,Male,24,0.9,0.897435897,0.966666667,0.966666667
66,Female,23,0.948717949,0.542857143,0.983333333,0.916666667
55,Female,17,0.868421053,0.815789474,0.95,0.95
67,Male,23,0.514285714,0.733333333,0.916666667,0.8
58,Female,16,1,0.973684211,0.983333333,0.966666667
62,Female,12,0.717948718,0.641025641,0.95,0.866666667
65,Female,17,0.810810811,0.95,0.916666667,0.933333333
58,Male,18,0.725,0.647058824,0.916666667,0.816666667
72,Female,21,0.975,0.9,1,1
72,Male,20,0.918918919,0.871794872,0.95,0.966666667
57,Male,17,1,0.914285714,1,0.8
64,Female,22,0.825,0.810810811,1,0.95
64,Female,22,0.9,0.9,0.983333333,0.983333333
70,Male,18,0.7,0.717948718,0.966666667,0.983333333
65,Female,21,0.85,0.85,1,1
68,Female,20,0.85,0.875,0.966666667,0.966666667
62,Female,18,0.923076923,0.923076923,0.95,0.983333333
62,Female,18,0.897435897,0.923076923,0.933333333,0.966666667
74,Female,16,0.675,0.710526316,0.983333333,0.966666667
64,Female,23,0.925,0.775,0.983333333,1
72,Female,21,1,0.972972973,0.983333333,0.95
74,Male,22,0.810810811,0.9,0.95,1
77,Male,21,1,0.871794872,0.983333333,0.9
63,Female,20,0.923076923,0.868421053,0.95,0.95
68,Female,22,0.868421053,0.9,0.933333333,1
63,Female,20,0.514285714,0.5,0.616666667,0.633333333
63,Female,19,1,1,0.983333333,0.983333333
55,Female,14,0.756756757,0.717948718,0.8,0.816666667
67,Female,18,0.8,0.789473684,0.933333333,0.866666667
68,Female,23,0.837837838,0.897435897,0.95,0.983333333
66,Female,19,0.705882353,0.5,0.9,0.95
69,Female,23,1,0.925,1,1
63,Female,22,1,0.975,0.983333333,1
60,Female,21,1,1,1,1
63,Female,23,0.861111111,0.837837838,0.916666667,0.933333333
66,Female,22,0.894736842,0.694444444,0.966666667,0.916666667
66,Female,21,0.666666667,0.775,0.883333333,0.983333333
